id,item_string,cost,artist,rarity,item_type,name,purchases,public
0026dce8-252d-4d35-ab59-e0be0b0470e6,chain_and_grill,200,Mr. Barnacles,1,2,Chain and Grill,6,true
03d9baeb-ba5c-43fd-a88f-5b2267e98fe1,angry_face,100,Mr. Barnacles,0,0,Angry Face,3,true
04c388d2-4229-4ea4-8d08-4541fedbfe8d,flower_crown,200,caleb,1,0,Flower Crown,2,true
069bca8a-1594-494e-ba65-2322ea17246f,wizard,200,caleb,1,0,Wizard Hat,6,true
11445fc4-7680-4d96-bd8a-0f5e247f841c,skateboard_bg,100,caleb,0,3,Skateboard,6,true
1432a4aa-16ec-47ab-9de5-10e695c20445,robo_head,500,caleb,3,0,Robo Frog,0,true
189a8809-3879-4730-ab8b-6162172e8d7b,spoon_friend,1000,Large Spoon,4,2,Spoon Friend,26,true
1c1b31ca-b828-4c7d-bc97-64a472f6674c,lollipop,200,caleb,1,2,Lollipop,4,true
1e4abaf7-e654-4c3a-bf78-ab3b08e73e6b,royal_cape,500,caleb,3,1,Royal Cape,1,true
1ed8ae16-7123-4337-bde0-dd007b97ebf2,skeleton,500,Mr. Barnacles,3,0,Skeleton,0,true
2519da4b-0156-42b1-8921-b774d206cdf3,bobcat_press_shirt,300,caleb,2,1,Bobcat Press Shirt,10,true
28618a85-a4cd-4703-a9d4-5a4448c4ce3b,k_jacket,500,Kendall O.,3,1,K's Jacket,4,true
334be0a2-3d50-4e61-a615-e651f5e894c8,wizard_staff,300,caleb,2,2,Wizard Staff,0,true
34813620-551e-495b-9bf8-bdc3b425553a,large_spoon,500,Large Spoon,3,2,Large Spoon,3,true
354dea1d-5068-4d84-880d-1ded87f86f36,cool_hair,300,Mr. Barnacles,2,0,Cool Hair,1,true
3683171d-9401-4d61-b616-0060ecf0d20f,castle_at_night,300,caleb,2,3,Nighttime Castle,2,true
3a95bd08-5cb4-4505-8319-db88af0d2f6c,wavy_hair,300,Mr. Barnacles,2,0,Wavy Hair,0,true
3b2acd55-690a-43b7-af2e-57768f8d02c7,tie_dye_shirt,500,caleb,3,1,Tie-Dye,3,true
3bf6b1b5-25f8-4484-a878-5f26bd01c4ca,boots,100,Kendall O.,0,1,Boots,6,true
3edff027-6cbe-45e1-a070-fa6fa9c8d6cd,eyepatch,100,caleb,0,0,Eyepatch,5,true
3f17f1c4-d172-4184-a4b5-7d50f47cee9d,beach,300,caleb,2,3,Beach Vacation,2,true
446a78ec-bf53-4a55-8c8b-0bfc9648e10d,lincoln,300,Mr. Barnacles,2,0,Lincoln,2,true
468910af-727d-4075-a74a-71998f0407b2,green_tie,100,caleb,0,1,Green Tie,3,true
47f97d9f-4827-4b3e-9d0e-08556e585d10,royal_crown,500,caleb,3,0,Crown,3,true
484786fc-6392-4798-9685-778aa191b77e,propeller,500,caleb,3,0,Silly Hat,1,true
4c210c87-78f7-402c-8b1b-52924b74e8a0,space_helmet,300,caleb,2,0,Space Helmet,2,true
4e923861-33a0-475c-9879-457dd695dde3,gold_watch,1000,caleb,4,2,Gold Watch,3,true
4ebcc424-5f09-4674-a75b-566503e5472b,fishnet,100,Kendall O.,0,1,Fishnet,4,true
54ce0895-476c-4715-bf64-6348b591936f,construction_helmet,200,caleb,1,0,Construction Helmet,2,true
57e4a510-3af1-4652-92e0-22003ee31e33,basketball,100,caleb,0,2,Basketball,3,true
6282c028-9c95-4f08-87e0-4b01f0cd690e,sunglasses,100,caleb,0,0,Sunglasses,3,true
6476270a-f416-490e-9fa6-7b418ec7e032,baseball_cap,200,caleb,1,0,White Cap,2,true
699b5ba4-7ef3-4f99-9c73-3b43ff07f0e0,fish_head,300,caleb,2,0,Fish Head,0,true
75d156de-2a83-4718-9f27-144189b1f0db,top_hat,200,caleb,1,0,Top Hat,1,true
76e4c201-3046-4f52-be74-fceac578a387,boxing_gloves,300,Mr. Barnacles,2,2,Boxing Gloves,1,true
7789af8c-70a3-407d-9197-ae5c49a0b207,party_hat,100,caleb,0,0,Party Hat,3,true
7c2e0593-17bf-4c39-86ab-dedbd3e7f206,hawaiian_shirt,300,caleb,2,1,"Floral Shirt ",1,true
7d10cef3-a276-4e89-8fca-5431163f35bd,star_bg,100,caleb,0,3,Stars,10,true
8759a222-947a-4899-ba95-3a20724c983e,cloudy_rainy,100,Kendall O.,0,1,Grumpy Frog,2,true
89bb9910-bfd3-432e-97d2-1d776bf32392,frog_faces,100,caleb,0,3,Froggy Faces,0,true
8bcc7ea7-777f-4d64-af70-949ccea18e66,vampire_cape,200,caleb,1,1,Cape,2,true
8ec07963-5b16-49d5-b352-27c5b36357bc,balloon,100,caleb,0,2,Balloon,0,true
9091ac19-efe2-41da-881f-56121cbb345e,paper_bag_head,200,caleb,1,0,Paper Bag Head,3,true
943d67c7-9576-4fc7-8e62-13bf84d5814c,fangs,100,Kendall O.,0,2,Fangs,5,true
9e295d23-be79-43e6-8292-6b542ebc11c7,business_tie,100,caleb,0,1,Red Tie,4,true
a12e9230-884f-4b64-92fc-d915238f6e4f,frog_pond,200,caleb,1,3,At the Pond,4,true
a2209799-8f9c-4888-ab82-199f49c50b26,burger,500,caleb,3,2,Burger,1,true
